Subject,Title,Price,Rating,ReviewCount,URL,Sold By
laptop,"Acer Aspire Lite 11th Gen Intel Core i5 Premium Metal Laptop (16GB RAM/512GB SSD/Intel Iris Xe Graphics/Windows 11 Home) AL15-51, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg","₹36,990",3.5,69,https://www.amazon.in/Acer-Premium-Graphics-Windows-AL15-51/dp/B0C93QX5QM/ref=sr_1_1?keywords=laptop&qid=1696918652&sr=8-1,Appario Retail Private Ltd
laptop,"HP Laptop 15s, 11th Gen Intel Core i3-1115G4, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq2673TU","₹35,990",4.1,"1,491",https://www.amazon.in/HP-i3-1115G4-Micro-Edge-Anti-Glare-15s-fq2673TU/dp/B0B4N6JVMW/ref=sr_1_2?keywords=laptop&qid=1696918652&sr=8-2,Appario Retail Private Ltd
laptop,"Acer Aspire Lite 11th Gen Intel Core i3 Premium Metal Laptop (8GB RAM/512GB SSD/Windows 11 Home) AL15-51, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg","₹27,990",3.9,125,https://www.amazon.in/Acer-Premium-Windows-AL15-51-39-62cm/dp/B0C8P8G3WJ/ref=sr_1_3?keywords=laptop&qid=1696918652&sr=8-3,Appario Retail Private Ltd
laptop,"ASUS Vivobook 14X OLED, Intel Core i9-13900H 13th Gen, 14"" (35.56 cm) 2.8K 90Hz OLED, Creator Laptop (16 GB RAM/1TB SSD/4GB RTX 3050/Win11//Backlit KB/Fingerprint/Black/1.45 kg), K3405VCB-KM951WS","₹1,09,990",4.5,4,https://www.amazon.in/ASUS-Vivobook-i9-13900H-Fingerprint-K3405VCB-KM951WS/dp/B0CFW153V3/ref=sr_1_4?keywords=laptop&qid=1696918652&sr=8-4,Appario Retail Private Ltd
laptop,"Acer Aspire 3 Intel Core i5 12th Generation Laptop (Windows 11 Home/16GB/512 GB SSD/MS Office) A315-59 with 39.6 cm (15.6"") Full HD Display, 1.7 Kg, Silver","₹44,990",3.7,41,https://www.amazon.in/Acer-Generation-Windows-A315-59-15-6-inch/dp/B0B3X2CPXD/ref=sr_1_5?keywords=laptop&qid=1696918652&sr=8-5,Appario Retail Private Ltd
laptop,"Dell 14 Laptop, Intel Core 11th Gen i3-1115G4/ 8GB/ 512GB /14.0""(35.56cm) FHD Display with Comfort View/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Carbon Black Color/1.48kg","₹34,990",4.0,218,https://www.amazon.in/Dell-i3-1115G4-Rheinland-Certified-Comfortview/dp/B0B46CJ21J/ref=sr_1_6?keywords=laptop&qid=1696918652&sr=8-6,Appario Retail Private Ltd
laptop,"Dell 14 Laptop, Intel Core i5-1135G7 Processor/ 8GB/ 512GB SSD/14.0"" (35.56cm) FHD Display with Comfort View/Windows 11 + MSO'21/ Spill-Resistant Keyboard/ 15 Month McAfee/ 1.48kg","₹42,490",3.6,176,https://www.amazon.in/Dell-i5-1135G7-Processor-Spill-Resistant-Keyboard/dp/B0C15BKF4G/ref=sr_1_7?keywords=laptop&qid=1696918652&sr=8-7,Appario Retail Private Ltd
laptop,"Dell 15 Laptop, Intel Core i5-1135G7 Processor/ 8GB/ 512GB/15.6"" (39.62cm) FHD with Comfort View/Mobile Connect/Backlit KB + FPR/Windows 11 + MSO'21/15 Months McAfee/Dark Silver/ 1.69kg","₹46,990",3.6,176,https://www.amazon.in/Dell-i5-1135G7-Processor-39-62cm-Comfort/dp/B0C1447PZ6/ref=sr_1_8?keywords=laptop&qid=1696918652&sr=8-8,Appario Retail Private Ltd
laptop,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fq5111TU","₹51,999",4.0,631,https://www.amazon.in/HP-Micro-Edge-Anti-Glare-15s-fq5111TU/dp/B0B6F5V23N/ref=sr_1_9?keywords=laptop&qid=1696918652&sr=8-9,AYR Tech
laptop,"Acer Aspire Lite 11th Gen Intel Core i3 Premium Metal Laptop (8GB RAM/256GB SSD/Windows 11 Home) AL15-51, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg","₹26,990",3.9,125,https://www.amazon.in/Acer-Premium-Windows-AL15-51-39-62cm/dp/B0C8P8WBSJ/ref=sr_1_10?keywords=laptop&qid=1696918652&sr=8-10,Appario Retail Private Ltd
